model,system,input,output,batch,prefill_latency(ms),decode_latency(ms),decode_throughput(tok/s),e2e_latency(ms),e2e_throughput(tok/s),TPOT(ms/token),total_energy(J),energy_per_token(mJ),tokens_per_J
LLAMA3-70B,H100-2,32,32,1,100.94,1975.1,16.20171130575667,2214.1,28.905650151303014,61.721875,1239.896,38746.75,0.025808616206520547
LLAMA3-70B,H100-2,32,64,1,81.466,3930.1,16.284572911630747,4262.2,22.523579372155226,61.4078125,2386.832,37294.25,0.02681378496685146
LLAMA3-70B,H100-2,32,128,1,71.841,7821.2,16.365775072878844,8338.7,19.18764315780637,61.103125,4669.672,36481.8125,0.02741091879686625
LLAMA3-70B,H100-2,32,256,1,82.3,15818.0,16.184094070046783,16734.0,17.210469702402296,61.7890625,9371.04,36605.625,0.027318205876829038
LLAMA3-70B,H100-2,32,512,1,93.201,32048.0,15.976035946080879,33792.0,16.098484848484848,62.59375,18923.52,36960.0,0.027056277056277056
LLAMA3-70B,H100-2,32,1024,1,80.232,63377.0,16.15728103255124,67130.0,15.730671830776107,61.8916015625,37592.8,36711.71875,0.027239258581430486
LLAMA3-70B,H100-2,32,2048,1,92.174,127350.0,16.08166470357283,133860.0,15.538622441356642,62.1826171875,74961.6,36602.34375,0.027320654841945742
LLAMA3-70B,H100-2,32,3584,1,116.69,220970.0,16.21939629814002,232870.0,15.527976982865976,61.654575892857146,130407.2,36385.9375,0.027483145102417658
LLAMA3-70B,H100-2,64,32,1,100.98,1973.1,16.21813390096802,2217.5,43.291995490417136,61.659375,1241.8,38806.25,0.025769044934772105
LLAMA3-70B,H100-2,64,64,1,69.953,3977.5,16.090509113764927,4255.8,30.07660134404812,62.1484375,2383.248,37238.25,0.02685410834290011
LLAMA3-70B,H100-2,64,128,1,88.75,8094.1,15.81398796654353,8612.8,22.292402006316184,63.23515625,4823.168,37681.0,0.026538573817043075
LLAMA3-70B,H100-2,64,256,1,101.3,2308.8,110.88011088011088,2519.3,127.01941015361409,9.01875,1410.808,5510.96875,0.18145630021944872
LLAMA3-70B,H100-2,64,512,1,100.35,31360.0,16.3265306122449,33275.0,17.31029301277235,61.25,18634.0,36394.53125,0.02747665557582913
LLAMA3-70B,H100-2,64,1024,1,83.503,63245.0,16.191003241362953,66775.0,16.293523025084237,61.7626953125,37394.0,36517.578125,0.027384072311065946
LLAMA3-70B,H100-2,64,2048,1,106.06,435.69,4700.589868943515,570.4,3702.664796633941,0.2127392578125,319.424,155.96875,6.411540773392106
LLAMA3-70B,H100-2,128,32,1,83.117,1968.7,16.25438106364606,2197.7,72.80338535741913,61.521875,1230.712,38459.75,0.026001209056221115
LLAMA3-70B,H100-2,128,64,1,99.868,3814.8,16.77676418160847,4174.7,45.99132871823125,59.60625,2337.832,36528.625,0.02737579090370908
LLAMA3-70B,H100-2,128,128,1,117.06,7980.6,16.038894318722903,8506.7,30.09392596423995,62.3484375,4763.752,37216.8125,0.02686957675378567
LLAMA3-70B,H100-2,128,256,1,96.631,15900.0,16.10062893081761,16715.0,22.973377206102302,62.109375,9360.4,36564.0625,0.02734925857869322
LLAMA3-70B,H100-2,128,512,1,109.67,8003.3,63.97361088550973,8646.6,74.01753290310641,15.6314453125,4842.096,9457.21875,0.10573933271872347
LLAMA3-70B,H100-2,128,1024,1,64.608,63700.0,16.07535321821036,67301.0,17.117130503261468,62.20703125,37688.56,36805.234375,0.027170048417875348
LLAMA3-70B,H100-2,128,2048,1,88.295,24664.0,83.03600389231268,26208.0,83.02808302808303,12.04296875,14676.48,7166.25,0.13954299668585382
LLAMA3-70B,H100-2,256,32,1,84.376,1848.2,17.31414349096418,2092.6,137.62783140590653,57.75625,1171.856,36620.5,0.027307109405933835
LLAMA3-70B,H100-2,256,64,1,107.77,3873.9,16.520818813082425,4246.7,75.35262674547296,60.5296875,2378.152,37158.625,0.026911652409097483
LLAMA3-70B,H100-2,256,128,1,86.906,6096.0,20.99737532808399,6610.9,58.08588845694233,47.625,3702.104,28922.6875,0.034574933605322815
LLAMA3-70B,H100-2,256,256,1,77.653,15750.0,16.253968253968253,16647.0,30.756292425061574,61.5234375,9322.32,36415.3125,0.027460975379519262
LLAMA3-70B,H100-2,256,512,1,93.207,17800.0,28.764044943820224,18946.0,40.53626095217988,34.765625,10609.76,20722.1875,0.04825745351449986
LLAMA3-70B,H100-2,256,1024,1,108.44,63835.0,16.04135662254249,67235.0,19.037703577006024,62.3388671875,37651.6,36769.140625,0.027196719395722893
LLAMA3-70B,H100-2,256,2048,1,87.007,127350.0,16.08166470357283,134810.0,17.09072027297678,62.1826171875,75493.6,36862.109375,0.027128127417423462
LLAMA3-70B,H100-2,512,32,1,275.81,1916.6,16.69623291244913,2389.1,227.70080783558663,59.89375,1337.896,41809.25,0.023918152083570024
LLAMA3-70B,H100-2,512,64,1,140.64,3825.0,16.73202614379085,4186.6,137.5818086275259,59.765625,2344.496,36632.75,0.02729797790228689
LLAMA3-70B,H100-2,512,128,1,140.29,7694.4,16.635475150758996,8403.4,76.15964966561154,60.1125,4705.904,36764.875,0.027199874880575545
LLAMA3-70B,H100-2,512,256,1,137.18,15685.0,16.321326107746255,16847.0,45.586751350388795,61.26953125,9434.32,36852.8125,0.027134971041898093
LLAMA3-70B,H100-2,512,512,1,143.63,31735.0,16.13360642823381,33413.0,30.646754257324993,61.982421875,18711.28,36545.46875,0.027363173444040174
LLAMA3-70B,H100-2,512,1024,1,143.13,27910.0,36.689358652812615,29877.0,51.41078421528266,27.255859375,16731.12,16338.984374999998,0.061203314542003166
LLAMA3-70B,H100-2,2048,128,1,477.81,7765.2,16.48379951578839,8688.1,250.45752235816806,60.665625,4865.336,38010.4375,0.026308563272916814
LLAMA3-70B,H100-2,2048,2048,1,482.65,129890.0,15.767187620294095,138110.0,29.657519368619216,63.4228515625,77341.6,37764.453125,0.026479928007695726
