model,system,input,output,batch,prefill_latency(ms),decode_latency(ms),decode_throughput(tok/s),e2e_latency(ms),e2e_throughput(tok/s),TPOT(ms/token),total_energy(J),energy_per_token(mJ),tokens_per_J
MISTRAL-7B,H100,32,32,1,37.564,250.13,127.93347459321153,329.32,194.339851815863,7.8165625,184.4192,5763.099999999999,0.17351772483559197
MISTRAL-7B,H100,32,64,1,34.227,514.49,124.39503197341055,553.68,173.38534893801474,8.03890625,310.0608,4844.7,0.20641112968811282
MISTRAL-7B,H100,32,128,1,54.301,1682.7,76.06822368812028,1744.9,91.69579918619978,13.14609375,977.144,7633.9375,0.13099399883742827
MISTRAL-7B,H100,32,256,1,74.251,4704.6,54.41482804064107,4857.8,59.28609658693235,18.37734375,2720.368,10626.4375,0.09410491521735295
MISTRAL-7B,H100,32,512,1,74.726,9602.8,53.317782313491904,9739.5,55.85502335848863,18.75546875,5454.12,10652.578125,0.09387398883779602
MISTRAL-7B,H100,32,1024,1,53.515,8225.6,124.48939894962069,8291.1,127.36548829467742,8.0328125,4643.016,4534.1953125,0.22054630007736353
MISTRAL-7B,H100,32,2048,1,34.289,16463.0,124.40017007835753,16535.0,125.79377078923496,8.03857421875,9259.6,4521.2890625,0.22117586072832518
MISTRAL-7B,H100,32,3584,1,37.679,28797.0,124.45740875785673,28863.0,125.28150226934137,8.034877232142858,16163.28,4509.84375,0.2217371721581263
MISTRAL-7B,H100,32,4064,1,37.509,32728.0,124.17501833292593,32797.0,124.88947159801201,8.053149606299213,18366.32,4519.271653543307,0.22127459393062954
MISTRAL-7B,H100,64,32,1,74.342,569.21,56.218267423270845,701.22,136.90425258834603,17.7878125,392.6832,12271.35,0.08149062654068216
MISTRAL-7B,H100,64,64,1,54.415,1089.7,58.73176103514729,1151.5,111.15935735996526,17.0265625,644.84,10075.625,0.0992494262142547
MISTRAL-7B,H100,64,128,1,55.227,2357.1,54.30401764880574,2421.8,79.27987447353208,18.41484375,1356.208,10595.375,0.09438080294468104
MISTRAL-7B,H100,64,256,1,36.322,2034.2,125.84799921345,2077.1,154.06095036348756,7.94609375,1163.176,4543.65625,0.22008707194783939
MISTRAL-7B,H100,64,512,1,34.212,4127.6,124.04302742513808,4169.0,138.16262892780043,8.06171875,2334.64,4559.84375,0.21930576020285783
MISTRAL-7B,H100,64,1024,1,74.342,8438.5,121.3485809089293,8555.4,127.17114337143792,8.24072265625,4791.024,4678.734375,0.21373301406964354
MISTRAL-7B,H100,64,2048,1,34.596,16654.0,122.9734598294704,16708.0,126.40651185061049,8.1318359375,9356.48,4568.59375,0.21888573480625192
MISTRAL-7B,H100,64,3584,1,37.764,28835.0,124.29339344546558,28977.0,125.89294958070194,8.045479910714286,16227.12,4527.65625,0.22086482382579287
MISTRAL-7B,H100,128,32,1,74.361,566.12,56.525118349466545,688.38,232.42976263110492,17.69125,385.4928,12046.65,0.0830106295111089
MISTRAL-7B,H100,128,64,1,54.84,834.84,76.66139619567821,896.91,214.06830116734122,13.044375,502.26959999999997,7847.9625,0.1274216078377031
MISTRAL-7B,H100,128,128,1,34.594,2345.1,54.58189416229585,2409.6,106.24169986719788,18.32109375,1349.376,10542.0,0.0948586605957124
MISTRAL-7B,H100,128,256,1,34.538,4644.4,55.12014469037982,4708.3,81.55809952636832,18.1421875,2636.648,10299.40625,0.09709297562662896
MISTRAL-7B,H100,128,512,1,44.291,5627.1,90.98825327433313,5682.6,112.6245028684053,10.9904296875,3182.256,6215.34375,0.16089214695486473
MISTRAL-7B,H100,128,1024,1,34.922,8165.9,125.3995273025631,8211.7,140.2876383696433,7.97451171875,4598.552,4490.7734375,0.2226787910629259
MISTRAL-7B,H100,128,2048,1,46.999,17866.0,114.63114295309526,17936.0,121.32024977698484,8.7236328125,10044.16,4904.375,0.20389957945711737
MISTRAL-7B,H100,256,32,1,35.051,534.36,59.884721910322625,606.97,474.48803070991977,16.69875,339.9032,10621.975,0.09414445053768249
MISTRAL-7B,H100,256,64,1,75.048,1163.4,55.011174144748146,1293.3,247.42905744993428,18.178125,724.248,11316.375,0.08836752051783367
MISTRAL-7B,H100,256,128,1,36.495,1024.6,124.92680070271327,1066.8,359.955005624297,8.0046875,597.408,4667.25,0.21425893191922438
MISTRAL-7B,H100,256,256,1,54.755,4565.1,56.07763247245405,4630.1,110.58076499427658,17.832421875,2592.856,10128.34375,0.09873282588774694
MISTRAL-7B,H100,256,512,1,37.802,9300.7,55.0496199210812,9401.7,81.68735441462714,18.1654296875,5264.952,10283.109375,0.09724685049360374
MISTRAL-7B,H100,256,1024,1,74.579,18832.0,54.37553101104503,19015.0,67.31527741256903,18.390625,10648.4,10398.828125,0.09616468201795575
MISTRAL-7B,H100,256,2048,1,36.047,37546.0,54.54642305438662,37697.0,61.118921930127065,18.3330078125,21110.32,10307.7734375,0.09701416179385249
MISTRAL-7B,H100,256,3584,1,38.038,28789.0,124.49199346972802,28858.0,133.06535449442094,8.032645089285714,16160.48,4509.0625,0.22177559082403495
MISTRAL-7B,H100,512,32,1,245.81,579.84,55.18763796909492,867.79,626.8797750607866,18.12,485.96239999999995,15186.324999999999,0.0658487158677297
MISTRAL-7B,H100,512,64,1,33.521,511.88,125.02930374306479,549.65,1047.939597925953,7.998125,307.804,4809.4375,0.20792452339800654
MISTRAL-7B,H100,512,128,1,33.575,1020.3,125.45329804959326,1077.3,594.0777870602433,7.97109375,603.288,4713.1875,0.21217063823580115
MISTRAL-7B,H100,512,256,1,34.791,2034.7,125.81707377008895,2076.1,369.92437743846637,7.948046875,1162.616,4541.46875,0.22019308180861094
MISTRAL-7B,H100,512,512,1,52.159,9191.8,55.70182118845058,9258.4,110.602263890089,17.952734375,5184.704,10126.375,0.09875202133043662
