model,system,batch,lin,lout,prefill_latency(ms),decode_latency(ms),e2e_latency(ms),comp_pct,comm_pct,queue_pct,decode_throughput(tok/s),total_energy(J)
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,8,128,2048,337.748,5060.533,5398.281,49.5,4.54,45.96,3237.6,609.56
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,8,2048,2048,6008.871,7783.419,13792.29,36.85,17.05,46.1,2104.99,1370.61
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,4,128,2048,165.184,4039.106,4204.29,61.55,2.56,35.89,2028.17,499.89
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,4,2048,2048,3004.418,5399.961,8404.379,45.84,13.95,40.21,1517.05,880.45
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,4,2048,128,3004.418,291.691,3296.108,42.78,34.35,22.87,1755.28,278.09
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,8,2048,128,6008.871,396.231,6405.103,41.09,35.13,23.78,2584.35,531.97
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,1,128,2048,41.071,3150.319,3191.39,71.09,1.86,27.05,650.09,372.98
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,1,2048,128,783.253,206.901,990.155,48.25,29.96,21.79,618.65,84.94
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,4,128,128,163.478,202.855,366.332,62.63,18.38,18.99,2523.97,38.47
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,1,128,128,40.599,181.112,221.71,70.25,8.48,21.27,706.74,25.0
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,8,128,128,334.335,218.226,552.561,55.43,25.95,18.62,4692.38,52.81
LLAMA2-7B,DDR5-M4-R4-C8-8-A2,1,2048,2048,783.253,3551.736,4334.989,61.8,7.78,30.42,576.62,468.19
LLAMA2-7B,DDR5-M4-R2-C8-8-A2,1,2048,2048,1172.528,6553.292,7725.821,65.98,4.69,29.34,312.51,442.74
LLAMA2-7B,DDR5-M4-R2-C8-8-A2,8,2048,2048,9380.288,14699.97,24080.258,39.03,10.45,50.51,1114.56,1271.2
LLAMA2-7B,DDR5-M4-R2-C8-8-A2,4,2048,2048,4690.126,10206.021,14896.147,47.8,8.44,43.76,802.66,828.61
LLAMA3-70B,H100-2,1,32,32,100.94,1975.1,2214.1,0.0,0.0,0.0,16.20171130575667,1239.896
LLAMA3-70B,H100-2,1,32,64,81.466,3930.1,4262.2,0.0,0.0,0.0,16.284572911630747,2386.832
LLAMA3-70B,H100-2,1,32,128,71.841,7821.2,8338.7,0.0,0.0,0.0,16.365775072878844,4669.672
LLAMA3-70B,H100-2,1,32,256,82.3,15818.0,16734.0,0.0,0.0,0.0,16.184094070046783,9371.04
LLAMA3-70B,H100-2,1,32,512,93.201,32048.0,33792.0,0.0,0.0,0.0,15.97603594608088,18923.52
LLAMA3-70B,H100-2,1,32,1024,80.232,63377.0,67130.0,0.0,0.0,0.0,16.15728103255124,37592.8
LLAMA3-70B,H100-2,1,32,2048,92.174,127350.0,133860.0,0.0,0.0,0.0,16.08166470357283,74961.6
LLAMA3-70B,H100-2,1,32,3584,116.69,220970.0,232870.0,0.0,0.0,0.0,16.21939629814002,130407.2
LLAMA3-70B,H100-2,1,64,32,100.98,1973.1,2217.5,0.0,0.0,0.0,16.21813390096802,1241.8
LLAMA3-70B,H100-2,1,64,64,69.953,3977.5,4255.8,0.0,0.0,0.0,16.090509113764927,2383.248
LLAMA3-70B,H100-2,1,64,128,88.75,8094.1,8612.8,0.0,0.0,0.0,15.81398796654353,4823.168
LLAMA3-70B,H100-2,1,64,256,101.3,2308.8,2519.3,0.0,0.0,0.0,110.88011088011088,1410.808
LLAMA3-70B,H100-2,1,64,512,100.35,31360.0,33275.0,0.0,0.0,0.0,16.3265306122449,18634.0
LLAMA3-70B,H100-2,1,64,1024,83.503,63245.0,66775.0,0.0,0.0,0.0,16.191003241362953,37394.0
LLAMA3-70B,H100-2,1,64,2048,106.06,435.69,570.4,0.0,0.0,0.0,4700.589868943515,319.424
LLAMA3-70B,H100-2,1,128,32,83.117,1968.7,2197.7,0.0,0.0,0.0,16.25438106364606,1230.712
LLAMA3-70B,H100-2,1,128,64,99.868,3814.8,4174.7,0.0,0.0,0.0,16.77676418160847,2337.832
LLAMA3-70B,H100-2,1,128,128,117.06,7980.6,8506.7,0.0,0.0,0.0,16.038894318722903,4763.752
LLAMA3-70B,H100-2,1,128,256,96.631,15900.0,16715.0,0.0,0.0,0.0,16.10062893081761,9360.4
LLAMA3-70B,H100-2,1,128,512,109.67,8003.3,8646.6,0.0,0.0,0.0,63.97361088550973,4842.096
LLAMA3-70B,H100-2,1,128,1024,64.608,63700.0,67301.0,0.0,0.0,0.0,16.07535321821036,37688.56
